index,param_0,param_1,timesteps,MI_X_to_X,MI_Y_to_X,MI_X_to_Y,MI_Y_to_Y,CMI_X_to_X_given_Y,CMI_Y_to_Y_given_X,Independence,Interdependence,Integration,PID_X_unique1,PID_X_unique2,PID_X_redundancy,PID_X_synergy,PID_Y_unique1,PID_Y_unique2,PID_Y_redundancy,PID_Y_synergy,D_X,D_Y,D_XY,G_X,G_Y,G_XY
234,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
94,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
25,1.5454295,-0.7352064,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
116,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
87,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
49,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
152,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
244,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
194,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
241,-0.1123019,-0.7931206,4,1.0,1.0,1.0,1.0,0,0,0.0,0,2.0,0,0,1.0,0,0,0,1.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.3333333333333333
