params,seed,simulation_type,success,error,Psi,Gamma,Delta,Delta_reconciling,Gamma_reconciling,Psi_reconciling,S_shape,M_shape
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [2, 3]}",42,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [2, 3]}",43,gol,False,INTERNAL: There was an error before calling cuModuleGetFunction (2): cudaErrorMemoryAllocation : out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [2, 3]}",44,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [0, 2, 4, 6, 8]}",42,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [0, 2, 4, 6, 8]}",43,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [0, 2, 4, 6, 8]}",44,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [2, 3]}",42,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [2, 3]}",43,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [2, 3]}",44,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [1, 3, 5, 7]}",42,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
"{'grid_size': 16, 'init_density': 0.1, 'n_steps': 250, 'birth': [3], 'survive': [1, 3, 5, 7]}",43,gol,False,RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory,,,,,,,,
